Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2012-06-26 00:00:00,0.02,0.01,-9999.9,-9999.9,0.01
2012-07-03 00:00:00,0.03,0.01,-9999.9,-9999.9,0.01
2012-07-10 00:00:00,0.03,0.01,10.62,4.25,0.09
2012-07-17 00:00:00,0.05,0.01,-9999.9,-9999.9,0.11
2012-07-24 00:00:00,0.06,0.01,35.82,17.93,-9999.9
2012-07-31 00:00:00,0.07,0.05,-9999.9,-9999.9,0.19
2012-08-07 00:00:00,0.13,0.05,67.04,39.37,0.46
2012-08-14 00:00:00,0.13,0.05,-9999.9,-9999.9,0.36
2012-08-21 00:00:00,0.16,0.07,98.73,29.82,0.39
2012-08-28 00:00:00,0.18,0.04,-9999.9,-9999.9,0.38
2012-09-04 00:00:00,0.22,0.07,98.49,40.73,0.51
2012-09-11 00:00:00,0.22,0.04,-9999.9,-9999.9,0.44
2012-09-18 00:00:00,0.17,0.06,70.32,15.62,0.34
2012-09-25 00:00:00,0.16,0.08,-9999.9,-9999.9,0.14
2012-10-04 00:00:00,0.14,0.08,38.89,14.47,0.03
2012-10-09 00:00:00,0.13,0.07,32.45,12.43,0.03
2012-10-16 00:00:00,0.08,0.08,27.11,10.69,0.03
