Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2015-07-09 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.04
2015-07-15 00:00:00,0.125,0.0194,0.95,0.42,0.04
2015-07-21 00:00:00,0.19,0.0316,-9999.9,-9999.9,0.04
2015-07-28 00:00:00,0.2158,0.0535,4.78,2.89,0.14
2015-08-04 00:00:00,0.486,0.075,-9999.9,-9999.9,0.58
2015-08-11 00:00:00,0.724,0.1262,25.13,10.35,0.74
2015-08-18 00:00:00,1.086,0.3435,-9999.9,-9999.9,0.83
2015-08-25 00:00:00,1.05,0.1655,40.35,18.3,0.87
2015-09-01 00:00:00,1.454,0.4674,-9999.9,-9999.9,0.98
2015-09-08 00:00:00,1.646,0.5617,95.28,16.01,1.39
2015-09-15 00:00:00,2.064,0.3442,-9999.9,-9999.9,1.5
2015-09-22 00:00:00,1.848,0.4031,138.32,72.94,0.74
2015-09-29 00:00:00,1.898,0.1918,-9999.9,-9999.9,0.61
2015-10-06 00:00:00,1.906,0.7463,95.78,65.79,0.44
2015-10-13 00:00:00,1.482,0.2161,-9999.9,-9999.9,0.18
2015-10-20 00:00:00,1.596,0.3155,60.48,21.09,0.17
2015-10-27 00:00:00,1.234,0.2503,-9999.9,-9999.9,0.14
2015-11-03 00:00:00,1.272,0.2838,59.28,8.97,0.04
2015-11-17 00:00:00,1.254,0.1182,48.8,16.42,0.02
2015-12-01 00:00:00,1.236,0.1577,47.67,10.21,0.03
2015-12-15 00:00:00,0.882,0.1399,33.66,11.62,0.02
