Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2011-07-08 00:00:00,0.12,-9999.9,-9999.9,-9999.9,0.02
2011-07-15 00:00:00,0.19,-9999.9,1.34,-9999.9,0.05
2011-07-22 00:00:00,0.28,-9999.9,-9999.9,-9999.9,0.05
2011-07-29 00:00:00,0.31,-9999.9,9.74,-9999.9,0.07
2011-08-05 00:00:00,0.53,-9999.9,-9999.9,-9999.9,0.26
2011-08-12 00:00:00,0.65,-9999.9,49.59,-9999.9,0.27
2011-08-19 00:00:00,0.78,-9999.9,-9999.9,-9999.9,0.4
2011-08-26 00:00:00,1.19,-9999.9,127.82,-9999.9,0.54
2011-09-02 00:00:00,1.56,-9999.9,-9999.9,-9999.9,0.37
2011-09-09 00:00:00,1.57,-9999.9,117.98,-9999.9,0.28
2011-09-16 00:00:00,1.89,-9999.9,-9999.9,-9999.9,0.17
2011-09-23 00:00:00,1.91,-9999.9,100.95,-9999.9,0.11
2011-09-30 00:00:00,1.87,-9999.9,-9999.9,-9999.9,0.1
2011-10-07 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.1
