Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2015-07-09 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.04
2015-07-15 00:00:00,0.03,0.0116,5.04,2.23,0.05
2015-07-21 00:00:00,0.0689,0.0321,-9999.9,-9999.9,0.14
2015-07-28 00:00:00,0.0731,0.0299,26.64,3.74,0.19
2015-08-04 00:00:00,0.1079,0.0319,-9999.9,-9999.9,0.71
2015-08-11 00:00:00,0.1903,0.053,97.58,20.06,0.98
2015-08-18 00:00:00,0.239,0.0625,-9999.9,-9999.9,1.1
2015-08-25 00:00:00,0.3109,0.1083,139.22,89.94,0.94
2015-09-01 00:00:00,0.3453,0.1053,-9999.9,-9999.9,0.93
2015-09-08 00:00:00,0.3353,0.1013,130.25,3.18,1.16
2015-09-15 00:00:00,0.386,0.1987,-9999.9,-9999.9,0.7
2015-09-22 00:00:00,0.3673,0.2305,131.12,14.61,0.54
2015-09-29 00:00:00,0.6533,0.2661,-9999.9,-9999.9,0.49
2015-10-06 00:00:00,0.53,0.2255,124.51,43.51,0.29
2015-10-13 00:00:00,0.6627,0.3027,-9999.9,-9999.9,0.27
2015-10-20 00:00:00,0.5267,0.264,114.1,15.83,0.06
2015-10-27 00:00:00,0.6633,0.2644,-9999.9,-9999.9,0.02
2015-11-03 00:00:00,0.8307,0.1102,143.19,34.8,0.04
2015-11-17 00:00:00,0.7387,0.1629,96.35,42.75,0.02
2015-12-01 00:00:00,0.722,0.0951,95.43,13.91,0.02
2015-12-15 00:00:00,0.7187,0.0841,95.33,15.82,0.02
