Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2012-06-26 00:00:00,0.02,0.01,-9999.9,-9999.9,0
2012-07-03 00:00:00,0.06,0.01,-9999.9,-9999.9,0
2012-07-10 00:00:00,0.1,0.04,0.3,0.43,0.01
2012-07-17 00:00:00,0.21,0.11,-9999.9,-9999.9,0.06
2012-07-24 00:00:00,0.55,0.08,2.1,2.88,-9999.9
2012-07-31 00:00:00,0.57,0.29,-9999.9,-9999.9,0.21
2012-08-07 00:00:00,0.65,0.24,10.26,12.27,0.28
2012-08-14 00:00:00,1.12,0.69,-9999.9,-9999.9,0.35
2012-08-21 00:00:00,1.44,0.58,62,66.98,0.43
2012-08-28 00:00:00,1.62,0.94,-9999.9,-9999.9,0.44
2012-09-04 00:00:00,1.95,0.72,149.72,113,0.36
2012-09-11 00:00:00,2.19,0.98,-9999.9,-9999.9,0.4
2012-09-18 00:00:00,2.46,0.63,177,240.31,0.29
2012-09-25 00:00:00,2.01,0.89,-9999.9,-9999.9,0.21
2012-10-04 00:00:00,2.23,0.8,293.72,135.98,0.16
2012-10-09 00:00:00,2.17,0.68,165.66,88.62,0.14
2012-10-16 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.06
