Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2013-07-02 00:00:00,0.01,0.01,0,0,0
2013-07-09 00:00:00,0.09,0.05,0,0,0
2013-07-16 00:00:00,0.16,0.1,-9999.9,-9999.9,0.05
2013-07-23 00:00:00,0.18,0.12,42.26,15.99,0.2
2013-07-30 00:00:00,0.2,0.18,-9999.9,-9999.9,0.35
2013-08-06 00:00:00,0.41,0.28,84.1,36.38,0.55
2013-08-13 00:00:00,0.43,0.32,-9999.9,-9999.9,-9999.9
2013-08-20 00:00:00,0.63,0.34,144.78,84.47,0.54
2013-09-03 00:00:00,1.28,0.73,209.38,92.51,0.69
2013-09-10 00:00:00,1.34,0.7,-9999.9,-9999.9,-9999.9
2013-09-17 00:00:00,1.45,0.57,301.27,74.9,0.76
2013-09-24 00:00:00,1.28,0.6,-9999.9,-9999.9,0.65
2013-10-01 00:00:00,1.24,0.63,196.74,73.77,0.33
2013-10-08 00:00:00,1.23,0.76,-9999.9,-9999.9,0.21
2013-10-14 00:00:00,1.22,0.74,130.91,19.97,0.15
2013-10-28 00:00:00,1.22,0.38,129.39,64.8,0.01
2013-11-11 00:00:00,1.21,0.43,122.44,27.78,0.08
2013-11-25 00:00:00,1.14,0.46,124.42,51.91,0.02
2013-12-02 00:00:00,1.1,0.55,137.22,51.43,-9999.9
